,MSFT
2010-01-04 16:00:00,
2010-01-05 16:00:00,0.7071067811865476
2010-01-06 16:00:00,-1.1532892110581399
2010-01-07 16:00:00,-1.3944085882911215
2010-01-08 16:00:00,-0.4488792012484334
2010-01-11 16:00:00,-1.4762528209641623
2010-01-12 16:00:00,-1.5301386977338332
2010-01-13 16:00:00,-0.6301318785674848
2010-01-14 16:00:00,1.0658841377173145
2010-01-15 16:00:00,0.6918590610282119
2010-01-19 16:00:00,1.2590711994275718
2010-01-20 16:00:00,-0.23812999973918292
2010-01-21 16:00:00,-1.6757973086716933
2010-01-22 16:00:00,-2.7331712453045127
2010-01-25 16:00:00,-1.7756040648387525
2010-01-26 16:00:00,-1.3435090826958873
2010-01-27 16:00:00,-1.0110198379056976
2010-01-28 16:00:00,-1.6109996720130937
2010-01-29 16:00:00,-2.4054937084468273
2010-02-01 16:00:00,-1.8677077209893866
2010-02-02 16:00:00,-1.5907376385971708
2010-02-03 16:00:00,-1.2661139350339359
2010-02-04 16:00:00,-1.8185520204897436
2010-02-05 16:00:00,-1.4505287843504884
2010-02-08 16:00:00,-1.5354731970082531
2010-02-09 16:00:00,-1.145363109924068
2010-02-10 16:00:00,-1.0523360564329796
2010-02-11 16:00:00,-0.8494138450907884
2010-02-12 16:00:00,-0.9396701084319645
2010-02-16 16:00:00,-0.3355542473544117
2010-02-17 16:00:00,0.03961832209072505
2010-02-18 16:00:00,0.7343552288859786
2010-02-19 16:00:00,0.5846503996979178
2010-02-22 16:00:00,0.5410898242193538
2010-02-23 16:00:00,-0.08564116637895622
2010-02-24 16:00:00,0.5672232014637283
2010-02-25 16:00:00,0.7065822714495643
2010-02-26 16:00:00,0.978951649318664
2010-03-01 16:00:00,1.6145857093063676
2010-03-02 16:00:00,0.2866178693763423
2010-03-03 16:00:00,0.2713021327647507
2010-03-04 16:00:00,0.6443361502398227
2010-03-05 16:00:00,0.4726474904922487
2010-03-08 16:00:00,0.5039523772769584
2010-03-09 16:00:00,0.8755810090457418
2010-03-10 16:00:00,1.252932267302675
2010-03-11 16:00:00,1.7391823274362515
2010-03-12 16:00:00,1.8162163743560995
2010-03-15 16:00:00,1.8990060974531109
2010-03-16 16:00:00,1.9070691123895402
2010-03-17 16:00:00,2.2272041405862635
2010-03-18 16:00:00,1.8695306855078067
2010-03-19 16:00:00,1.5890460151451693
2010-03-22 16:00:00,1.4310435327063877
2010-03-23 16:00:00,1.828459308635416
2010-03-24 16:00:00,1.1874071970886175
2010-03-25 16:00:00,1.7102457351079872
2010-03-26 16:00:00,0.9058825022564263
2010-03-29 16:00:00,0.6911212205198334
2010-03-30 16:00:00,0.9681485090904551
2010-03-31 16:00:00,-0.14220135139546564
2010-04-01 16:00:00,-0.5405363770578899
2010-04-05 16:00:00,-0.4040569723586918
2010-04-06 16:00:00,-0.4093944867811991
2010-04-07 16:00:00,-0.4539306832285908
2010-04-08 16:00:00,1.5566594753405294
2010-04-09 16:00:00,2.5347473729636296
2010-04-12 16:00:00,2.0630132282156923
2010-04-13 16:00:00,2.049807939839173
2010-04-14 16:00:00,2.405517897918459
2010-04-15 16:00:00,2.0836430588207504
2010-04-16 16:00:00,1.4852489093192325
2010-04-19 16:00:00,1.8546079071365877
2010-04-20 16:00:00,2.0008916453004435
2010-04-21 16:00:00,1.6932808693762569
2010-04-22 16:00:00,1.5621547583025233
2010-04-23 16:00:00,0.911389215665282
2010-04-26 16:00:00,0.9963825787832327
2010-04-27 16:00:00,0.6033002615384175
2010-04-28 16:00:00,0.6155362396570371
2010-04-29 16:00:00,0.6480979458555786
2010-04-30 16:00:00,-0.07282934617281321
2010-05-03 16:00:00,0.32441105189879177
2010-05-04 16:00:00,-1.135359259766759
2010-05-05 16:00:00,-1.9546179859838562
2010-05-06 16:00:00,-2.9787134097647536
2010-05-07 16:00:00,-2.9760430195698397
2010-05-10 16:00:00,-1.799849644405498
2010-05-11 16:00:00,-1.6351468515291865
2010-05-12 16:00:00,-0.9588100188331998
2010-05-13 16:00:00,-1.0471232328203552
2010-05-14 16:00:00,-1.2307549346848405
2010-05-17 16:00:00,-1.1009303020353804
2010-05-18 16:00:00,-1.1713716722249943
2010-05-19 16:00:00,-1.3684833352900634
2010-05-20 16:00:00,-2.094391492184354
2010-05-21 16:00:00,-1.9903591653492247
2010-05-24 16:00:00,-2.081209500522265
2010-05-25 16:00:00,-1.9219840252254923
2010-05-26 16:00:00,-2.2217670715504534
2010-05-27 16:00:00,-1.4480627511847814
2010-05-28 16:00:00,-1.4213920710204113
2010-06-01 16:00:00,-1.2584813459522013
2010-06-02 16:00:00,-0.8059376982089201
2010-06-03 16:00:00,-0.4551938637086456
2010-06-04 16:00:00,-1.1128330274463865
2010-06-07 16:00:00,-1.3145574817518024
2010-06-08 16:00:00,-1.2944426666519613
2010-06-09 16:00:00,-1.3585005225725693
2010-06-10 16:00:00,-1.124551022617759
2010-06-11 16:00:00,-0.5867720177955441
2010-06-14 16:00:00,-0.6381862828107208
2010-06-15 16:00:00,0.4275934412217265
2010-06-16 16:00:00,0.3392780216877553
2010-06-17 16:00:00,0.6434130328144801
2010-06-18 16:00:00,0.8621040870694124
2010-06-21 16:00:00,0.14938188343476425
2010-06-22 16:00:00,-0.11494895910771114
2010-06-23 16:00:00,-0.8219959078900257
2010-06-24 16:00:00,-1.3410205580910015
2010-06-25 16:00:00,-1.8326548539985934
2010-06-28 16:00:00,-1.8538210345916823
2010-06-29 16:00:00,-2.483577433326856
2010-06-30 16:00:00,-2.2838122882284813
2010-07-01 16:00:00,-1.874386932847615
2010-07-02 16:00:00,-1.5566804492583026
2010-07-06 16:00:00,-0.9808711196868328
2010-07-07 16:00:00,-0.5243618917005365
2010-07-08 16:00:00,-0.4159945001238806
2010-07-09 16:00:00,-0.4984385080407878
2010-07-12 16:00:00,0.009489790464146192
2010-07-13 16:00:00,0.2803751414367889
2010-07-14 16:00:00,0.6290430085715413
2010-07-15 16:00:00,0.7659040935457679
2010-07-16 16:00:00,0.2601217323693977
2010-07-19 16:00:00,0.732632006455371
2010-07-20 16:00:00,1.0826028288678098
2010-07-21 16:00:00,0.7329536692130074
2010-07-22 16:00:00,1.511594064305658
2010-07-23 16:00:00,1.3631281015961694
2010-07-26 16:00:00,1.4925959738438497
2010-07-27 16:00:00,1.3874129762408676
2010-07-28 16:00:00,1.076217041347406
2010-07-29 16:00:00,1.0905941904387413
2010-07-30 16:00:00,0.787799262831724
2010-08-02 16:00:00,1.4023742187664778
2010-08-03 16:00:00,1.1130861061873747
2010-08-04 16:00:00,0.3787043072741913
2010-08-05 16:00:00,-0.34739852727775256
2010-08-06 16:00:00,-0.15726640866830782
2010-08-09 16:00:00,-0.13752958572136204
2010-08-10 16:00:00,-1.4739723514172087
2010-08-11 16:00:00,-1.7689474601174506
2010-08-12 16:00:00,-2.1569191692344085
2010-08-13 16:00:00,-2.0916340277837877
2010-08-16 16:00:00,-1.7123142385004098
2010-08-17 16:00:00,-1.0409153245769438
2010-08-18 16:00:00,-0.8462639001949225
2010-08-19 16:00:00,-1.3039667352918332
2010-08-20 16:00:00,-1.4436886578140167
2010-08-23 16:00:00,-1.2314817861142229
2010-08-24 16:00:00,-1.4270761248037604
2010-08-25 16:00:00,-1.2060153750057816
2010-08-26 16:00:00,-1.4561823638520488
2010-08-27 16:00:00,-1.168334496034576
2010-08-30 16:00:00,-1.5072637380122882
2010-08-31 16:00:00,-1.672963112861286
2010-09-01 16:00:00,-0.8942731633348405
2010-09-02 16:00:00,-0.7402608306849373
2010-09-03 16:00:00,0.009954061196284576
2010-09-07 16:00:00,-0.6564251021959228
2010-09-08 16:00:00,-0.6395183379533123
2010-09-09 16:00:00,-0.3560047928089074
2010-09-10 16:00:00,-0.7545865653454775
2010-09-13 16:00:00,2.4202717745825324
2010-09-14 16:00:00,1.9155562134463628
2010-09-15 16:00:00,1.9336343193997896
2010-09-16 16:00:00,2.112676451697509
2010-09-17 16:00:00,1.678679147817915
2010-09-20 16:00:00,1.766820595789294
2010-09-21 16:00:00,1.19465539847689
2010-09-22 16:00:00,0.3307480496035778
2010-09-23 16:00:00,0.03089924330938092
2010-09-24 16:00:00,0.50182682550086
2010-09-27 16:00:00,0.37850741053586595
2010-09-28 16:00:00,0.22306760986894006
2010-09-29 16:00:00,-0.18188392109545945
2010-09-30 16:00:00,-0.2685006643558851
2010-10-01 16:00:00,-0.5596220697349462
2010-10-04 16:00:00,-1.401711990366917
2010-10-05 16:00:00,-0.6231785363654105
2010-10-06 16:00:00,-0.530780285350594
2010-10-07 16:00:00,-0.38267443317773125
2010-10-08 16:00:00,-0.4380588270455581
2010-10-11 16:00:00,-0.3254729534814248
2010-10-12 16:00:00,0.3320547197475233
2010-10-13 16:00:00,1.571122454477329
2010-10-14 16:00:00,1.3456725928465807
2010-10-15 16:00:00,1.9550055113736529
2010-10-18 16:00:00,2.35550031364563
2010-10-19 16:00:00,0.795318457462949
2010-10-20 16:00:00,1.1402146488439555
2010-10-21 16:00:00,1.2239404427104112
2010-10-22 16:00:00,1.0424615679504539
2010-10-25 16:00:00,0.6122361069718212
2010-10-26 16:00:00,1.7496820816062433
2010-10-27 16:00:00,1.7424073123863817
2010-10-28 16:00:00,1.8290922731859816
2010-10-29 16:00:00,2.0509894580933516
2010-11-01 16:00:00,2.135469766824856
2010-11-02 16:00:00,2.265580421604173
2010-11-03 16:00:00,1.6267263849511926
2010-11-04 16:00:00,1.563492960061334
2010-11-05 16:00:00,1.1265042654676662
2010-11-08 16:00:00,0.9876551874822378
